"SURVEY_YEAR","NUM_FEMALE_IMMATURE","CV_NUM_FEMALE_IMMATURE","CI_NUM_FEMALE_IMMATURE","NUM_FEMALE_MATURE","CV_NUM_FEMALE_MATURE","CI_NUM_FEMALE_MATURE","NUM_FEMALE_TOTAL","CV_NUM_FEMALE_TOTAL","CI_NUM_FEMALE_TOTAL"
2005,23611443.15931574384556995587430329685538,0.459543242308769259648060029317845068524,21266939.12424148781383951961791234034037,39419982.27534982359153539520211631533506,0.1565190816282977820303366284602893851936,12093159.67014140031573996380856265663931,63031425.43466556743710535107641961219047,0.1983210763143227035129686003565280806902,24500901.86230454812302783863708497407034
2006,17228829.23102805963153356644904833408078,0.2753925628168754555845088323528880364459,9299595.21508354532767708591705209748897,35504654.16401365963186935281660383011621,0.1414465531023680069960755235077968365405,9843141.46315908419196839591066320310155,52733483.39504171926340291926565216419701,0.1507530685526652419061831678737080931859,15581479.4970561747070970658256155211814
2007,5108646.9224897500859535262628546080634,0.2416857600579513361725642846411286408816,2419986.94008611254357473025853854317929,51104813.99528020039170988096855252852631,0.2502882363106320535874410081965161404752,25070230.17324871052259829271094411232846,56213460.9177699504776634072314071365897,0.2410847650805827905537745207958468874275,26562329.67866509714952078906825235728243
2008,3668035.71017713575451923249303703127594,0.4120515159470330486615406711829989396422,2962382.56285562786454878948329654735369,43431926.8432337758928743358141416005981,0.2734631118407377334261891662808139884189,23278978.54086835568137110699944096794013,47099962.55341091164739356830717863187395,0.2661700457404563157139396159080233695379,24571734.40694171751851223005771614618258
2009,1718549.61193330852923477960084650701114,0.2998800869441502528602652811695544345048,1010103.26180701662779555835251150612896,43974172.62816273828221217872627342362565,0.2665476032495665921743162732811780106594,22973572.22508216627548990434969823459646,45692722.24009604681144695832711993063674,0.2580347960586847625318709079196645077465,23109012.03859505350644616119301327667995
2010,1209988.27942736382723779971308993065194,0.4084025641277180299009507343867312074017,968558.1391299374697906898753020613610311,34668871.60111421781332055598071307166792,0.2402613588298704244740397174513081403376,16325996.79196473465411409538605307575889,35878859.88054158164055835569380300231991,0.235541028375935658525100233905907473278,16563849.36430897373926111079212093457777
2011,32972288.2510379248285372499140129999353,0.914396360887082177204390734615018758344,59093491.15826318891124673863843302726017,35393219.34641613358384426279851374011548,0.1970948706161422201846282535677505577088,13672611.09603043394189787416779861340395,68365507.59745405841238151271252674005076,0.4499512573265190542250381781996832744409,60291846.35843068315088618061247372954289
2012,7637245.72752805272249327196481103996142,0.5136333756308021406940480615219311212982,7688578.834962223958688118673874992517,22635476.94284535790024048948043160271925,0.2823602615312356808898798767028899110094,12527064.01135349787688589581120275436202,30272722.67037341062273376144524264268069,0.2945407842114626021017518563340421143739,17476440.89207389702646534010771941134782
2013,1666182.37949218584563107299638394940857,0.3055763735107276260991786541325540972282,997926.0995000863235973638986908176613306,17298255.77521161773302769166813762927223,0.306792545224776281615156615724060172191,10401672.79776366114974683709055141517974,18964438.15470380357865876466452157868076,0.2866288337793086135523433137880195920252,10654079.3914626463836849905913102378587
2014,2845740.78700459899817232497254131847032,0.5959010070582256981942930714167861257559,3323728.40957330826965698289164048019558,38676950.93353109431368689458485047140356,0.1686931966189155036972605549569337479297,12788095.43736260452996163981752752308625,41522691.72053569331185921955739178987387,0.1617741862694878094782887270923479227962,13165907.34302458258956697374949387654372
2015,2445272.78872094143812146735712901054626,0.6337255125706966681392877699282694537591,3037278.23275841672357208818357811242205,20200957.30568347123096103341354601893507,0.2378489284471083401864908687763669799126,9417361.05557469292422144231858618512354,22646230.09440441266908250077067502948137,0.2526943191350982101408921894438352202337,11216244.44157729608751517323099689447771
2016,3643453.86850649619163593002392342808962,0.7578473497429709630576333065941204151464,5411916.44199050938899442469848522502922,26066273.9471740104037030960721550429289,0.1957483034996944028116092005847524307318,10000760.65128648693654085488411595774649,29709727.81568050659533902609607847101856,0.198377129022723777002982743451604792019,11551711.79591766432632944609122136774919
2017,3934796.18576006553766324637752559378459,0.3529049919503122182013802295597642835235,2721674.06387307929044933491274672991203,21106698.74284085037212230246089424059018,0.1988074125473326441512823083431740560409,8224489.60238124731626562139637187992132,25041494.92860091590978554883841983437483,0.1878748432924880225636729422261784743369,9221147.19362024001502730125944274462772
2018,1426538.71687512556883848023649730307576,0.2921956363992934026983888754182698698405,816983.6409220951431570206042388248443005,14713230.45643998695091404352022843369164,0.1576499132442434147916385318260264366852,4546297.42980063480838675117130997958188,16139769.17331511251975252375672573676741,0.1523177959369099412900619186752045117712,4818413.17212328829687116678105252066733
2019,1553287.59458500779169699145752540408386,0.3195305011101671314344244802811657458849,972792.6163932691841015838044632001023926,14863500.29437794083592807067833428519631,0.2145903906502285540541604967012129724692,6251546.09581668489451234859116436737273,16416787.88896294862762506213585968928016,0.1993998772439569733587966228614331048544,6416070.76000661133915819039025414755468
2021,1385067.63156217418496859691464607937514,0.307338799747120352750106803220597312818,834342.6459676944376125763788027423303912,12287650.07303900999084927492682363816464,0.1711890132565549910139574635300293493599,4122880.95484095261040753463480391076886,13672717.7046011841758178718414697175398,0.1594532176659610523448040435373259174757,4273111.31118454350003405129311749962821
2022,2460631.92740647629920180906050114247485,0.3127579277437324725739735760866348035739,1508380.99940920312710784204286540902536,13456267.56578392419865454584945124869284,0.180303665319236038203805254469944383219,4755380.15270930352850921709074339844503,15916899.49319040049785635490995239116766,0.1656319109785126991317290563519434237237,5167239.10062369077350957254214837796374
2023,2126857.11280146741287214512703969126025,0.2884356451606357214355544838079142872167,1202384.35085094134429158685647589390015,14637076.78030010467063692496104993471202,0.2900800482208601041832281138108239538726,8322010.91895409679500081229951222815466,16763933.89310157208350907008808962597218,0.2531116887614538117914658384473896497961,8316569.33121789118490467482710158398602
